steps,trial_0,trial_1,trial_2
0.0,15.827186584472656,41.008358001708984,20.326847076416016
10526315.789473685,16.102586151376737,40.78576780318017,20.700928504932207
21052631.57894737,20.984169122213473,37.24624818101154,28.7622204513142
31578947.368421055,25.82256714434175,38.424179403952365,42.341857699176856
42105263.15789474,39.48025258162015,40.716315923841705,40.002442529079325
52631578.94736842,43.98444773285673,52.99415687117674,45.703030203930886
63157894.73684211,39.27736930485164,55.82250727950453,49.03863238927153
73684210.5263158,31.23113632902833,46.201162365520595,48.75332018531797
84210526.31578948,31.826514436349974,51.90484813293262,47.91930922213684
94736842.10526316,32.53973341677493,55.130621864824164,50.7900108620318
105263157.89473684,41.36943751460049,53.401270436117855,48.44223592207455
115789473.68421052,44.714684227558884,60.012540589130566,60.92519295511772
126315789.47368422,42.98434026097657,59.22982636841215,61.84121357259492
136842105.2631579,62.99426908009892,56.587936767580764,66.59265598977744
147368421.0526316,77.92241949874939,61.252681688609385,90.14325877082977
157894736.84210527,70.37777244506037,77.21775193396864,78.70447894526319
168421052.63157895,74.66005499673352,77.70293356441064,72.44301822938417
178947368.42105263,71.79797424576206,105.96007828187416,88.03305291743573
189473684.21052632,67.53728627341276,144.68886711541305,78.867013961861
200000000.0,107.00897326241983,185.26694365394744,75.47260350067364
