steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23
0.0,20.56792640686035,20.694686889648438,27.230201721191406,19.650291442871094,25.915163040161133,22.800601959228516,16.541336059570312,28.28856658935547,25.41530418395996,14.245672225952148,12.60469913482666,18.117097854614258,12.392337799072266,17.59383773803711,17.011587142944336,15.569441795349121,26.47991180419922,26.600513458251953,29.363418579101562,19.30875015258789,18.296459197998047,19.347705841064453,18.06810760498047,15.1729154586792
10526315.789473685,20.455478189998097,20.959935733867898,27.619092415574514,20.65590083594963,25.82039531088664,23.03290929870778,16.91543911850477,28.276127692874407,26.26887520562104,14.66263271412113,13.103804543157755,18.24747444365762,12.340303664887712,17.722366440447868,17.767642831450477,15.994366657600281,26.591578622201556,27.16763295894721,29.601874473125484,19.339223734755844,18.515797695748695,19.498976440785498,17.81188729734591,15.337385750767824
21052631.57894737,19.98474667805384,26.599500297757068,34.884383246756656,39.083428752616335,25.117819380995474,27.67150148094072,23.928852499098905,28.6789212039984,40.93171528212912,22.318657095618857,21.28815513432356,20.61353594037882,11.972843739062217,20.61344607008255,30.3429830559114,23.834606995563593,28.673132827593182,37.16521374196062,34.06019354258713,19.57685927047789,23.185324332586532,23.54986958903289,16.266374356095316,18.451559335891147
31578947.368421055,29.89590784257221,36.22366988143969,40.422587253658975,51.34459084172287,31.460397925093726,34.738744744932966,30.434024901069968,35.644452533295116,44.433872102421816,26.775225594201203,21.1771018187776,24.79223196313735,16.660436427633478,30.446008705882328,29.46459187197801,31.24291776439531,31.873688664411162,40.20703274927971,37.4359847060366,18.482554976578154,31.58732871631279,34.52606377186166,36.60535631793192,21.650181599528917
42105263.15789474,25.693784470703463,41.688210355442976,40.120689346891034,48.32060510877757,29.01029781101483,39.10866658620722,31.395369531581608,44.62680800312774,45.921255773248106,21.032803263381084,24.542978595044474,38.85680985013204,21.10714446503535,45.150223923914155,28.38664605491214,37.04762179724398,41.084357627004465,34.84686585286648,37.095269872541245,23.25593162193853,36.12825788103478,30.585764462432703,33.46833162236742,25.5586665504692
52631578.94736842,29.98410180230674,58.00781450843712,50.20170002527679,54.7083921126526,29.99497980334463,40.30055198098154,29.30138546984818,39.204851754835275,52.31242519428236,27.14147968511316,22.793377828322495,42.177156947398366,25.261695368808805,31.703358406056534,39.04563715144827,34.41158092603954,47.885991559670906,42.57657494333023,44.17904169815193,24.27075033290234,46.46227927326413,39.24186738295651,35.876836068463874,34.802591774963524
63157894.73684211,37.1513207678856,60.42686261744382,51.55921792934476,56.98365892399712,45.19351288771202,48.27100860907431,38.555211217119435,46.135930781714485,51.40481214790793,43.884528475496246,26.49556779081307,42.29194941619345,33.098247912575665,38.8559821986921,41.27332652750273,35.249141859071244,47.23070071129918,50.616800725769636,47.431705986797155,32.39677495160592,51.14264327826345,54.8855280071043,31.801127468057782,33.5308085133288
73684210.5263158,49.26544851495,72.5665120457059,54.79502974843756,60.3390900096095,78.69969272229646,49.482111447777115,55.16856996091779,57.573415225624544,50.90916306066257,43.175314648288435,31.26030163649067,42.747942266588474,36.05703218482496,45.1938174999528,49.664824606432816,33.43029099490256,57.870604091713474,46.025410462748724,49.12948376064155,38.61497010935583,53.32324912316499,60.31599218153764,31.12590754141004,35.77825318453344
84210526.31578948,55.723247431239265,90.70969067220874,54.84655732370479,51.41228573490708,90.21230147155698,52.66307671851068,54.436093773372946,67.33914173326335,48.451507732313424,38.26900785963291,32.70394029462106,40.638775928281355,34.16304710259728,52.05742089825984,54.01781494160108,34.127236337873086,70.39194189098733,45.52619843775216,45.07086507303232,35.37879041539004,65.15607181761074,73.32002550264475,27.97100908975852,41.001384672778464
94736842.10526316,53.65552625116838,119.57116091055306,63.67593567709018,43.95159997830265,94.79055795048743,53.58576762402776,52.065969897459915,76.87933387954067,47.30876932842167,42.40506146933853,33.70902853536515,38.806042419349225,32.99063246687384,54.654408582638425,52.91051000997507,40.050437248180366,73.2189207081154,60.02974500961169,49.98471180293864,48.22730687217287,78.71822929795098,88.9526270310139,33.87797114861371,36.35797570120553
